,Mkt-RF,SMB,HML,RF
200702,-1.96,1.32,-0.09,0.38
200703,0.68,-0.05,-0.22,0.43
200704,3.49,-2.07,-1.15,0.44
200705,3.24,0.02,-0.04,0.41
200706,-1.96,0.78,-1.12,0.4
200707,-3.73,-2.51,-3.33,0.4
200708,0.92,-0.13,-2.24,0.42
200709,3.22,-2.29,-1.86,0.32
200710,1.8,0.22,-2.6,0.32
200711,-4.83,-2.62,-1.18,0.34
200712,-0.87,0.2,-0.51,0.27
200801,-6.36,-0.9,3.65,0.21
200802,-3.09,-0.24,-0.94,0.13
200803,-0.93,0.95,-0.14,0.17
200804,4.6,-1.64,-0.95,0.18
200805,1.86,3.22,-1.38,0.18
200806,-8.44,1.28,-2.42,0.17
200807,-0.77,2.45,5.88,0.15
200808,1.53,3.61,1.52,0.13
200809,-9.24,-1.16,6.33,0.15
200810,-17.23,-2.32,-2.89,0.08
200811,-7.86,-2.96,-6.02,0.03
200812,1.74,3.61,-0.25,0
200901,-8.12,0.08,-11.18,0
200902,-10.1,0.22,-7.27,0.01
200903,8.95,-0.08,3.56,0.02
200904,10.19,4.77,5.53,0.01
200905,5.21,-2.34,-0.23,0
200906,0.43,2.62,-2.72,0.01
200907,7.72,2.07,5.28,0.01
200908,3.33,-0.9,7.75,0.01
200909,4.08,2.46,0.93,0.01
200910,-2.59,-4.23,-4.18,0
200911,5.56,-2.5,-0.17,0
200912,2.75,6.1,0,0.01
201001,-3.36,0.38,0.3,0
201002,3.4,1.21,3.16,0
201003,6.31,1.43,2.11,0.01
201004,2,4.97,2.81,0.01
201005,-7.89,0.05,-2.38,0.01
201006,-5.56,-1.97,-4.5,0.01
201007,6.93,0.17,-0.26,0.01
201008,-4.77,-3,-1.95,0.01
201009,9.54,3.92,-3.13,0.01
201010,3.88,1.13,-2.6,0.01
201011,0.6,3.7,-0.9,0.01
201012,6.82,0.69,3.82,0.01
201101,1.99,-2.47,0.82,0.01
201102,3.49,1.53,1.1,0.01
201103,0.45,2.6,-1.58,0.01
201104,2.9,-0.34,-2.52,0
201105,-1.27,-0.7,-2.08,0
201106,-1.75,-0.16,-0.32,0
201107,-2.36,-1.35,-1.21,0
201108,-5.99,-3.05,-2.48,0.01
201109,-7.59,-3.53,-1.41,0
201110,11.35,3.42,-0.18,0
201111,-0.28,-0.17,-0.34,0
201112,0.74,-0.7,1.77,0
201201,5.05,2.15,-1.13,0
201202,4.42,-1.75,0.08,0
201203,3.11,-0.62,0.92,0
201204,-0.85,-0.52,-0.48,0
201205,-6.19,0,-0.59,0.01
201206,3.89,0.76,0.44,0
201207,0.79,-2.61,-0.27,0
201208,2.55,0.4,1.31,0.01
201209,2.73,0.49,1.53,0.01
201210,-1.76,-1.15,3.79,0.01
201211,0.78,0.59,-0.97,0.01
201212,1.18,1.48,3.58,0.01
201301,5.57,0.39,0.95,0
201302,1.29,-0.45,0.03,0
201303,4.03,0.81,-0.3,0
201304,1.55,-2.42,0.62,0
201305,2.8,1.66,2.6,0
201306,-1.2,1.17,-0.17,0
201307,5.65,1.86,0.56,0
201308,-2.71,0.31,-2.78,0
201309,3.77,2.92,-1.19,0
201310,4.18,-1.51,1.14,0
201311,3.12,1.22,0.24,0
201312,2.81,-0.5,-0.31,0
201401,-3.32,0.85,-2.09,0
201402,4.65,0.34,-0.4,0
201403,0.43,-1.89,5.09,0
201404,-0.19,-4.24,1.14,0
201405,2.06,-1.86,-0.27,0
201406,2.61,3.08,-0.74,0
201407,-2.04,-4.24,0.01,0
201408,4.24,0.36,-0.59,0
201409,-1.97,-3.83,-1.23,0
201410,2.52,4.21,-1.7,0
201411,2.55,-2.09,-3,0
201412,-0.06,2.54,2.07,0
201501,-3.11,-0.56,-3.48,0
201502,6.13,0.48,-1.79,0
201503,-1.12,3.03,-0.45,0
201504,0.59,-2.98,1.85,0
201505,1.36,0.87,-1.37,0
201506,-1.53,2.83,-0.79,0
201507,1.54,-4.15,-4.12,0
201508,-6.04,0.49,2.66,0
201509,-3.08,-2.64,0.53,0
201510,7.75,-1.97,-0.07,0
201511,0.56,3.64,-0.5,0
201512,-2.17,-2.83,-2.6,0.01
